time,CO2
1958.166667,316.1
1958.25,317.2
1958.333333,317.4333333
1959.416667,317.4333333
1958.5,315.625
1958.583333,314.95
1958.666667,313.5
1958.75,313.5
1958.833333,313.425
1958.916667,314.7
1959,315.5
1959.083333,316.7
1959.166667,316.7333333
1959.25,317.675
1959.333333,318.325
1959.416667,318.025
1959.5,316.525
1959.583333,314.9
1959.666667,313.825
1959.75,313.4
1959.833333,314.875
1959.916667,315.525
1960,316.38
1960.083333,316.975
1960.166667,317.575
1960.25,319.12
1960.333333,319.925
1960.416667,319.45
1960.5,318.06
1960.583333,315.775
1960.666667,314.175
1960.75,313.84
1960.833333,315.025
1960.916667,316.2
1961,316.925
1961.083333,317.65
1961.166667,318.525
1961.25,319.42
1961.333333,320.475
1961.416667,319.75
1961.5,318.32
1961.583333,316.775
1961.666667,315.04
1961.75,315.35
1961.833333,316.05
1961.916667,316.98
1962,317.925
1962.083333,318.625
1962.166667,319.68
1962.25,320.55
1962.333333,320.9
1962.416667,320.5
1962.5,319.425
1962.583333,317.7333333
1962.666667,316.0666667
1962.75,315.475
1962.833333,316.55
1962.916667,317.525
1963,318.725
1963.083333,318.9666667
1963.166667,319.86
1963.25,321.275
1963.333333,322.1
1963.416667,321.46
1963.5,319.6
1963.583333,317.6
1963.666667,316.15
1963.75,316.05
1963.833333,317
1963.916667,318.35
1964,319.4
1964.083333,319.4
1964.166667,319.1
1964.25,319.4
1964.333333,322
1964.416667,321.75
1964.5,320.3
1964.583333,318.5
1964.666667,316.6
1964.75,316.96
1964.833333,317.725
1964.916667,318.675
1965,319.4
1965.083333,320.45
1965.166667,320.925
1965.25,322
1965.333333,322.06
1965.416667,321.775
1965.5,321.04
1965.583333,318.725
1965.666667,317.825
1965.75,317.34
1965.833333,318.875
1965.916667,319.325
1966,320.54
1966.083333,321.575
1966.166667,322.375
1966.25,323.66
1966.333333,324.025
1966.416667,323.7
1966.5,322.85
1966.583333,320.2
1966.666667,318.7
1966.75,318.18
1966.833333,319.9
1966.916667,321.06
1967,322.4
1967.083333,322.425
1967.166667,323
1967.25,324.28
1967.333333,324.95
1967.416667,324.075
1967.5,322.48
1967.583333,320.85
1967.666667,319.3
1967.75,319.45
1967.833333,320.675
1967.916667,321.92
1968,322.55
1968.083333,323.05
1968.166667,323.92
1968.25,324.975
1968.333333,325.475
1968.416667,325.26
1968.5,324.025
1968.583333,321.94
1968.666667,320.25
1968.75,320.275
1968.833333,321.32
1968.916667,322.925
1969,323.925
1969.083333,324.275
1969.166667,325.6
1969.25,326.575
1969.333333,327.28
1969.416667,326.55
1969.5,325.8
1969.583333,323.54
1969.666667,322.4
1969.75,321.8
1969.833333,322.82
1969.916667,324.125
1970,325.08
1970.083333,326.025
1970.166667,327
1970.25,328.075
1970.333333,327.92
1970.416667,327.55
1970.5,326.3
1970.583333,324.66
1970.666667,323.15
1970.75,323.14
1970.833333,324.05
1970.916667,325.1
1971,326.14
1971.083333,326.65
1971.166667,327.2
1971.25,327.675
1971.333333,328.82
1971.416667,328.475
1971.5,327.22
1971.583333,325.25
1971.666667,323.4
1971.75,323.54
1971.833333,324.825
1971.916667,325.925
1972,326.72
1972.083333,327.625
1972.166667,327.725
1972.25,329.64
1972.333333,330
1972.416667,329.075
1972.5,328.04
1972.583333,326.25
1972.666667,324.86
1972.75,325.3
1972.833333,326.425
1972.916667,327.54
1973,328.55
1973.083333,329.475
1973.166667,330.38
1973.25,331.575
1973.333333,332.4
1973.416667,331.94
1973.5,330.65
1973.583333,329.325
1973.666667,327.5
1973.75,327.225
1973.833333,328.05
1973.916667,328.64
1974,329.325
1974.083333,330.625
1974.166667,331.5
1974.25,332.625
1974.333333,332.975
1974.416667,332.16
1974.5,331.075
1974.583333,329.22
1974.666667,327.375
1974.75,327.375
1974.833333,328.4
1974.916667,329.675
1975,330.25
1975.083333,331.3
1975.166667,332
1975.25,333.275
1975.333333,333.86
1975.416667,333.4
1975.5,331.8
1975.583333,329.98
1975.666667,328.525
1975.75,328.325
1975.833333,329.44
1975.916667,330.775
1976,331.74
1976.083333,332.55
1976.166667,333.45
1976.25,334.45
1976.333333,334.76
1976.416667,334.4
1976.5,332.86
1976.583333,330.725
1976.666667,329.35
1976.75,329.1
1976.833333,330.35
1976.916667,331.625
1977,332.88
1977.083333,333.425
1977.166667,334.7
1977.25,336.04
1977.333333,336.675
1977.416667,336.2
1977.5,334.8
1977.583333,332.875
1977.666667,331.575
1977.75,331.2
1977.833333,332.35
1977.916667,333.86
1978,335.025
1978.083333,335.35
1978.166667,336.6
1978.25,337.64
1978.333333,337.95
1978.416667,337.925
1978.5,336.5
1978.583333,334.65
1978.666667,332.74
1978.75,332.65
1978.833333,333.825
1978.916667,334.96
1979,336.225
1979.083333,336.7
1979.166667,338
1979.25,338.875
1979.333333,339.375
1979.416667,339.24
1979.5,337.525
1979.583333,336.025
1979.666667,333.98
1979.75,333.95
1979.833333,335.15
1979.916667,336.66
1980,337.925
1980.083333,338.225
1980.166667,340.06
1980.25,340.75
1980.333333,341.34
1980.416667,340.95
1980.5,339.375
1980.583333,337.6
1980.666667,335.875
1980.75,336.025
1980.833333,337.06
1980.916667,338.2
1981,339.22
1981.083333,340.45
1981.166667,341.4
1981.25,342.45
1981.333333,342.82
1981.416667,342.125
1981.5,340.425
1981.583333,338.4
1981.666667,336.7
1981.75,336.94
1981.833333,338.425
1981.916667,339.6
1982,340.7
1982.083333,341.55
